# DUET gene panel -- PLAN.md E.4 phase-1 resolution, PLAN.md N.2 data/panels/.
#
# GENERATED by src/fermdb/omics/genes.py from two sources, and reviewed as a diff:
#   identity columns : s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900),
#                      the RefSeq rna_from_genomic FASTA for GCF_000146045.2
#   duet_role columns: docs/design/DUET_TARGET.md §3, parsed from its Markdown table
#
# The role lives here rather than in the database because no table models it: gene and
# gene_group have no role column, gene_annotation.source is a closed set of external
# annotation authorities, and `predicate` is a closed vocabulary with no membership term.
# Recording it in one of those would be a fabrication in a column that means something
# else. See this module's docstring.
#
# duet_role 'unknown' = the role table was consulted and does not place this gene.
# It is not NULL (nobody looked) and not 'NA' (not applicable).
standard_name	systematic_name	gene_group_id	ncbi_gene_id	encoding_genome	duet_role	duet_role_label	product	evidence	confidence
ILV6	YCL009C	YAA:GG:ycl009c	850348	nuclear	pathway	Pathway	acetolactate synthase regulatory subunit	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
ISU1	YPL135W	YAA:GG:ypl135w	855968	nuclear	fe_s_machinery	Fe-S machinery	iron-binding protein ISU1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
LEU4	YNL104C	YAA:GG:ynl104c	855619	nuclear	pathway	Pathway	2-isopropylmalate synthase LEU4	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
LEU9	YOR108W	YAA:GG:yor108w	854275	nuclear	pathway	Pathway	2-isopropylmalate synthase LEU9	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
NFS1	YCL017C	YAA:GG:ycl017c	850343	nuclear	fe_s_machinery	Fe-S machinery	cysteine desulfurase	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
PDC1	YLR044C	YAA:GG:ylr044c	850733	nuclear	competing_by_product	Competing / by-product	indolepyruvate decarboxylase 1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
PDC5	YLR134W	YAA:GG:ylr134w	850825	nuclear	competing_by_product	Competing / by-product	indolepyruvate decarboxylase 5	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
PDC6	YGR087C	YAA:GG:ygr087c	852978	nuclear	unknown	unknown	indolepyruvate decarboxylase 6	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
PDR5	YOR153W	YAA:GG:yor153w	854324	nuclear	efflux_tolerance	Efflux / tolerance	ATP-binding cassette multidrug transporter PDR5	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
PMA1	YGL008C	YAA:GG:ygl008c	852876	nuclear	efflux_tolerance	Efflux / tolerance	H(+)-exporting P2-type ATPase PMA1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
